Unnamed: 0,street_name,street_alias
3149,an,
3152,vi thu an,
3155,tran quang ieu,
3156,phan thiet,
3157,ngo quang tham,
3162,bac si trung,
3164,40,
3167,lu giang,
3171,70,
3174,ong lan 8,
3176,ong 8,
3178,vinh phuc,
3181,nguyen lo trach,
3185,ai co viet,
3188,commat nguyen kiem,
3190,quoc lo 62,
3192,hoang ieu 2,
3210,11,
3212,phuc man,
3213,ai lo binh,
3216,le lang,
3217,tu hiep,
3221,ly long truong,
3234,ql 70b,
3241,van bao,
3247,o cho ua 3,
3256,ho hao hon,
3260,phu o,
3269,tran sam,
3270,tieu la,
3273,ten lua,
3291,phung hung,
3298,t 7a,
3300,tran nguyen han,
3304,khe,
3306,khuong thuong,
3312,ngu hanh n,
3313,bang lang 3,
3318,long chau,
3321,8/3,
3324,lang hoa lac,
3331,cay lon,
3332,8 khuong,
3333,nguyen van tao,
3335,ha uy phien,
3338,16/7,
3339,phuoc ha,
3340,6b,
3343,ho van hue,
3346,t 830,
3349,cao toc tp hcm long thanh au giay,
3356,vu huu,
3361,a4,
3362,hoa lac hoa binh,
3369,thi giang,
3371,ho nghinh,
3372,binh gia,
3378,thuong thuy,
3391,van xuan,
3393,thanh loc 37,
3397,truc khe,
3400,giap nhi,
3401,tu thuy,
3425,hinode royal park,
3432,pham tran nhat minh,
3441,b ng a hiep binh chanh,
3448,5m5,
3450,khuat uy tien,
3453,tinh lo 822,
3457,vinh phu 1,
3466,131,
3468,an linh,
3469,tl8,
3471,bong sao,
3478,tinh lo 3,
3481,my tra my khe,
3483,luu chi hieu,
3484,hang ua,
3489,hht,
3498,hoang hoa tham p13,
3499,cao toc ha noi 2 phong,
3502,g nhat,
3504,ql21,
3505,cao lo p4,
3506,le lai,
3513,ien,
3515,bac n,
3520,bo bao ng sai gon,
3522,t 420,
3529,thuong hieu,
3544,nguyen hy quang,
3550,ql 17,
3554,cao toc long thanh au giay,
3570,go cat,
3573,nguyen van cong,
3584,vo van kiet t,
