Unnamed: 0,individual,alias
2452,an cuu city,
2454,bien resort premier village da nang,
2459,the era town,
2461,"diamond island, urban green thu duc, urban green",
2478,di trach hoai duc,
2479,"the melody, ciputra",
2483,"vinhomes ocean park, the pavilion",
2486,summer square,
2488,chieng son moc chau,
2504,phu thuong,
2506,"west lakes, golf & villas, west lakes golf & villas",
2508,"ciputra, the melody - ciputra, the melody ciputra, ciputra ha noi, the melody",
2509,the capella garden,
2514,thao dien 1,
2521,- day - ba,
2523,vpqh,
2527,vin city,
2532,"dong duc, an suong",
2541,"gia jamona home resort, jamona home resort",
2542,sun grand city,
2545,the estella,
2548,dream home palace,
2551,mai linh,
2553,"cau giay, sky park residence",
2555,binh loi,
2556,rosita khang dien,
2558,"grand view, phu my hung",
2561,"belleza, era town",
2566,paradise,
2569,capella garden nha trang,
2572,lu gia plaza,
2573,"vung tau gateway, chi linh, gateway",
2575,"santorini villas, sunshine heritage, sunshine heritage resort, tropical villas",
2576,screc,
2586,"vinpearl, vinpearl nha trang",
2591,nam an khanh,
2592,saigon riverpark,
2596,hong rieng,
2606,sunshine garden minh khai,
2608,phodong village,
2613,o,
2614,an phu - an khanh duong,
2616,long tan phu hoi,
2619,waterfront,
2625,sun hdi tay ho,
2629,binh quoi 1,
2634,dao su tich,
2635,sun secret valley phu quoc,
2642,cc the legend,
2643,midtown m7 - signature,
2656,samland,
2660,goldview,
2664,saigonres plaza,
2667,empire city,
2669,"sun secret valley phu quoc, the avenue",
2670,a51,
2685,"yen son ha trung, yen son",
2694,"canh vin city dai, the golden an khanh",
2697,tang phu,
2699,"nha o xa hoi vinh long center apartment, shophouse",
2700,hung golden,
2702,vung tau melody,
2706,cc bea sky,
2707,wynham,
2713,thanh ha cienco 5,
2728,"gamuda, gelexia",
2730,binh loi cao cap,
2738,ruby garden,
2753,lai xa,
2758,golden star,
2775,him lam phu dong,
2779,"phu my hung, hung phuc premier",
2780,"villa, chdv",
2784,central hill,
2786,park river,
2789,residence vo chi cong,
2791,sunrise city,
2795,"dat xanh premium, one palace 2",
2797,"khoang nong, quang trach quang xuong",
2798,"topia khang dien phu huu, khang dien",
2807,vinhome long bien,
2809,"ciputra ha noi, ciputra, the link 345",
2810,"heritage west lake, zen in the city",
2811,topaz city,
2815,"ciputra, the melody ciputra",
2818,"dream town coma6, dream town",
2821,brg coastal city,
2823,the pride to huu,
2828,vinhome gardenia,
2829,"halong marina, a la carte halong bay",
2830,hoang anh minh tuan,
2831,him lam,
2837,northern diamond,
2840,phu quoc,
2842,2,
2843,"landmark, sapphire, landmark 81, sapphire 1, bitexco, 2, bitexco q1, bitexco q",
2846,gemek premium,
2851,lavita thuan an,
2852,"doi dua hoan my, doi dua complex",
2853,diamond connect,
2869,the tresor,
2875,"topaz elite quan, dragon",
2876,starlake,
2878,vinh hoa,
2882,"vinhomes oocean park 2 hung yen, vinhomes ocean park, khu biet thu lien, vinhomes ocean park 2",
2885,green life 13c,
2886,cam dinh,
2890,"flc sam son, grand villa, flc",
2900,casa de rio,
2901,q4,
2905,"citi bella 2, citi bella",
2906,"megacity kontum, mega city kon tum",
2909,citi esto,
2914,landmark,
2916,"- penhouse, happy one central",
2918,stella mega city can,
2929,phuc thuan tp pho,
2935,the everrich infinity quan,
2937,co co,
2940,"tram, best western premier",
2941,sencond home,
2942,hqc binh trung dong,
2944,loc phat,
2948,& villas,
2950,"an phu dong, hai dat nen",
2953,hiep thanh 3,
2954,doi,
2957,conic skyway,
2958,garden gate,
2959,wyndham hotel & resort,
2962,"mega city 2 nhon trach, mega city 2",
2971,feliz homes,
2977,amber court thong nhat,
2982,"van don, sonasea, sonasea van don, shoptel sonasea van don",
2985,"trump tower, my dinh",
2989,"vuon vua, vuon vua resort & villas",
2990,vinh phu,
2995,"lotter, lotter lac long quan",
3005,bo cong an,
3008,hoang thap,
3009,dong duong,
3010,"cty dong duong, dong duong",
3011,"korea park, shophouse, shophouse thuong mai korea park",
3020,my do vista city bac giang,
3022,trung son,
3025,lu gia,
3034,135,
3037,bach dang gold,
3038,bai truong,
3048,pham huu lau,
3056,minh tri soc son,
3059,"tsq galaxy, ngan ha van phuc",
3061,phu hoa 1,
3062,intresco 13e,
3063,topaz elite,
3065,"conic 13b, conic skyway",
3069,"trung yen plaza, trung yen, trung yen 9",
3077,kim long nam,
3078,"verosa park, the garden, the green",
3086,"ba ria city gate, baria city gate",
3088,bac binh,
3091,swan bay,
3092,khang gia f14,
3099,khang gia,
3101,"binh trung dong, the global city",
3110,nguyen thao dkhr,
3111,"aston luxury residence, 2",
3114,"the aston luxury residence, the aston",
3115,the aston luxury residence,
3116,"the aston luxury residence, booking sky villa, shophouse",
